EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Tender Stage
"9,08,540",Yes,fixed,,Nil,Nil,Industries and Commerce Department||Assam Petro-Chemicals Ltd.||Head office Namrup||Materials Management Department,APL/CnP/HR/2023-24/132,2023_ICD_30301_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1.0,Corrigendum-1,Date,,HIRING OF MAN MANAGEMENT SERVICES FOR ASSISTANCE IN MAINTENANCE DEPARTMENT OF ASSAM PETRO-CHEMICALS LIMITED,HIRING OF MAN MANAGEMENT SERVICES FOR ASSISTANCE IN MAINTENANCE DEPARTMENT OF ASSAM PETRO-CHEMICALS LIMITED,As Per Tender Documents  ,NA ,,Manpower Supply,NA ,Tender,180.0,731.0,Assam Ptero-Chemicals Limited,786623.0,APL Namrup ,"Conference hall, APL . Both Online and Offline Mode  ",10-Apr-2023 10:00 AM ,"AssamPetro-Chemicals Limited , namrup",No ,No,"9,085",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,EMD and Integrity Pact,03-Apr-2023 10:00 AM,26-Apr-2023 03:00 PM,03-Apr-2023 10:00 AM,25-Apr-2023 03:00 PM,NA ,NA ,03-Apr-2023 10:00 AM,25-Apr-2023 03:00 PM,"DY.general Manager, C and P","DGM office , Assam Petro-Chemicals Limited ,Namrup PO-Parbatpur 786623 Dist-Dibrugarh, Assam",Technical Bid Opening,1,183199,Dusters Total Solutions Services Pvt. Ltd.,18-Apr-2023 12:28 PM,Admitted-Fee/PreQual/Technical,,27-Apr-2023 02:55 PM,Industries and Commerce Department||Assam Petro-Chemicals Ltd.||Head office Namrup||Materials Management Department,2023_ICD_30301_1,APL/CnP/HR/2023-24/132,HIRING OF MAN MANAGEMENT SERVICES FOR ASSISTANCE IN MAINTENANCE DEPARTMENT OF ASSAM PETRO-CHEMICALS LIMITED,Technical,The technical bid of the all bidders have been admitted for technical evaluation.,Manob Borthakur,27-Apr-2023 02:55 PM,,Technical Bid Opening
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Un-Priced Bid,,,,,,,,,,,Technical Bid Opening,2,184539,GREEN POWER INTERNATIONAL PVT. LTD.,25-Apr-2023 02:55 PM,Admitted-Fee/PreQual/Technical,,27-Apr-2023 02:55 PM,,,,,,,,,,Technical Bid Opening
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,Technical Bid Opening,3,183460,LAKWA STEEL CONSTRUCTION,18-Apr-2023 11:07 AM,Admitted-Fee/PreQual/Technical,,27-Apr-2023 02:55 PM,,,,,,,,,,Technical Bid Opening
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technical Bid Opening,4,184679,MIRAJ INSTRUMENTATION SERVICES (I) PRIVATE LIMITED,25-Apr-2023 02:26 PM,Admitted-Fee/PreQual/Technical,,27-Apr-2023 02:55 PM,,,,,,,,,,Technical Bid Opening
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technical Bid Opening,5,184569,M/s WING ENGINEERING,25-Apr-2023 12:34 PM,Admitted-Fee/PreQual/Technical,,27-Apr-2023 02:55 PM,,,,,,,,,,Technical Bid Opening
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technical Bid Opening,6,183589,Oil Input Trading Company,18-Apr-2023 02:44 PM,Admitted-Fee/PreQual/Technical,,27-Apr-2023 02:55 PM,,,,,,,,,,Technical Bid Opening
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technical Bid Opening,7,183572,SHELL ELECTRICAL ENGINEERS,25-Apr-2023 12:56 PM,Admitted-Fee/PreQual/Technical,,27-Apr-2023 02:55 PM,,,,,,,,,,Technical Bid Opening
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technical Bid Opening,8,183014,SPECTRON ENGINEERS PRIVATE LIMITED,18-Apr-2023 10:43 AM,Admitted-Fee/PreQual/Technical,,27-Apr-2023 02:55 PM,,,,,,,,,,Technical Bid Opening
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technical Bid Opening,9,184594,Technomech Services,25-Apr-2023 11:37 AM,Admitted-Fee/PreQual/Technical,,27-Apr-2023 02:55 PM,,,,,,,,,,Technical Bid Opening
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technical Bid Opening,10,183267,Utpal Chetia,16-Apr-2023 10:56 PM,Admitted-Fee/PreQual/Technical,,27-Apr-2023 02:55 PM,,,,,,,,,,Technical Bid Opening
