Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.,Corrigendum Title,Corrigendum Type,Corrigendum Description,Corrigendum Reason,Published Date,Document Name,Doc Size(in KB),Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,"2,12,000",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,15-Jul-2022 10:00 AM,11-Aug-2022 04:00 PM,15-Jul-2022 10:00 AM,10-Aug-2022 02:00 PM,NA ,NA ,25-Jul-2022 10:00 AM,10-Aug-2022 02:00 PM,02-Sep-2022 03:30 PM,"Mission Director, NHM, Assam","O/O Mission Director, NHM, Assam, Saikia Commercial Complex, Christanbasti, G.S.Road Guwahati","2,000",Nil,Nil,No,1.0,Corrigendum,Cancellation of Tender,,Printing and Supply of MCP Cards,"O/O Mission Director, National Health Mission, Saikia Commercial Complex, Christanbasti, G.S Road, Guwahati",Please refer Tender documents. ,NA ,"1,06,00,000",Publishing/Printing,NA ,Rate Contract,90.0,41.0,33 district drugs warehouse,781005.0,"O/O Mission Director, NHM, Assam ","O/O Mission Director, NHM, Assam, Saikia Commercial Complex, Christanbasti, G.S.Road Guwahati ",21-Jul-2022 03:00 PM ,"O/O Mission Director, NHM, Assam",No ,No,National Health Mission||State Programme Management Unit - NHM,NHM/1018/6/2018-Maternal Health/7909,2022_NHM_26320_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,Cancelled,OSD,Internal,"DF, FM, SPM, Proc. Expert, DME (SHQ)",Dipjyoti Deka,02-Sep-2022 01:58 PM,02-Sep-2022 03:30 PM,techsummary_40640.pdf (876.89 KB),1.0,Corrigendum,Cancellation of Tender,Cancellation Notice,Due to admistrative reasons/issues,12-Apr-2023 07:16 PM,cancellation_notice_MCP.pdf ,426.08,National Health Mission||State Programme Management Unit - NHM,2022_NHM_26320_1,NHM/1018/6/2018-Maternal Health/7909,Printing and Supply of MCP Cards,Finance,Financial Bid opened,Dipjyoti Deka,22-Nov-2022 12:22 PM,,BOQ Comparative Chart,1,154664,ADWELL INTERNATIONAL PVT LTD,04-Aug-2022 02:47 PM,Admitted-Finance,,22-Nov-2022 12:22 PM,Technical,Technical Minutes,Dipjyoti Deka,02-Sep-2022 01:54 PM,technical_40640.pdf,Cancelled
,,.pdf,Technical Document,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum 1,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,2,155753,Asomi Enterprise,10-Aug-2022 01:03 PM,Admitted-Finance,,22-Nov-2022 12:22 PM,,,,,,Cancelled
2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,3.0,Corrigendum 1,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,3,154711,F M Printers,10-Aug-2022 12:50 PM,Admitted-Finance,,22-Nov-2022 12:22 PM,,,,,,Cancelled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,4,154734,Maa Kamakhya art,07-Aug-2022 10:09 PM,Admitted-Finance,,22-Nov-2022 12:22 PM,,,,,,Cancelled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,5,155595,Mittal Enterprises,10-Aug-2022 01:15 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Sep-2022 01:54 PM,,,,,,Cancelled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,6,155648,M/S Priyanka Printers,09-Aug-2022 07:18 PM,Admitted-Finance,,22-Nov-2022 12:22 PM,,,,,,Cancelled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,7,154543,SHRINATH PRINTS N PACKAGING,09-Aug-2022 03:00 PM,Admitted-Finance,,22-Nov-2022 12:22 PM,,,,,,Cancelled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,8,154585,Singhania printing press LLP,09-Aug-2022 04:25 PM,Admitted-Finance,,22-Nov-2022 12:22 PM,,,,,,Cancelled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,9,154468,Sri Prabin Saikia,10-Aug-2022 11:57 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Sep-2022 01:54 PM,,,,,,Cancelled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,10,154658,S S Graphics,10-Aug-2022 12:52 PM,Admitted-Finance,,22-Nov-2022 12:22 PM,,,,,,Cancelled
